 Hit    Total  Avg    Min    Max   Name
885    155    0      0      39     ReadInputs
 Hit    Total  Avg    Min    Max   Name
61     308    5      3      22     CopyVideoBuffer
61     1957   32     7      599    UnlockVideoBuffer
61     1220   20     13     49     Actor Rendering
61     827    13     12     30     Wall Rendering
61     1076   17     12     35     Floor Rendering
61     297    4      3      6      ClearZScreen
61     935    15     9      32     ClearScreen
61     4846   79     58     115    RenderNormalDisplay
210    660    3      1      29     LockVideoBuffer
210    7911   37     1      720    Refresh
210    436    2      0      111    Process
210    268    1      0      100    ReadInputs
 Hit    Total  Avg    Min    Max   Name
69     332    4      3      38     CopyVideoBuffer
69     1143   16     11     81     UnlockVideoBuffer
69     1407   20     16     34     Actor Rendering
69     1197   17     12     38     Wall Rendering
69     1074   15     12     29     Floor Rendering
69     306    4      3      9      ClearZScreen
69     927    13     9      27     ClearScreen
69     5529   80     60     136    RenderNormalDisplay
508    1604   3      1      540    LockVideoBuffer
508    8765   17     1      659    Refresh
508    336    0      0      35     Process
508    98     0      0      20     ReadInputs
 Hit    Total  Avg    Min    Max   Name
83     337    4      3      9      CopyVideoBuffer
83     1290   15     11     48     UnlockVideoBuffer
83     1603   19     10     36     Actor Rendering
83     2005   24     10     63     Wall Rendering
83     1084   13     9      26     Floor Rendering
83     344    4      3      9      ClearZScreen
83     1048   12     10     27     ClearScreen
83     6766   81     59     154    RenderNormalDisplay
83     503    6      4      23     LockVideoBuffer
83     8739   105    78     187    Refresh
83     339    4      1      26     Process
83     32     0      0      24     ReadInputs
 Hit    Total  Avg    Min    Max   Name
81     276    3      3      5      CopyVideoBuffer
81     1586   19     11     575    UnlockVideoBuffer
81     1362   16     14     21     Actor Rendering
81     1000   12     9      25     Wall Rendering
81     1031   12     10     19     Floor Rendering
81     295    3      3      5      ClearZScreen
81     860    10     10     16     ClearScreen
81     5201   64     57     95     RenderNormalDisplay
644    1447   2      1      73     LockVideoBuffer
644    8698   13     1      675    Refresh
644    429    0      0      23     Process
644    238    0      0      79     ReadInputs
 Hit    Total  Avg    Min    Max   Name
107    348    3      3      14     CopyVideoBuffer
107    1410   13     11     33     UnlockVideoBuffer
107    1788   16     9      34     Actor Rendering
107    913    8      7      12     Wall Rendering
107    1528   14     12     30     Floor Rendering
107    364    3      3      7      ClearZScreen
107    1087   10     9      27     ClearScreen
107    6530   61     55     87     RenderNormalDisplay
175    1243   7      1      643    LockVideoBuffer
175    9352   53     1      746    Refresh
175    514    2      0      51     Process
175    34     0      0      17     ReadInputs
 Hit    Total  Avg    Min    Max   Name
25     89     3      3      13     CopyVideoBuffer
25     404    16     11     111    UnlockVideoBuffer
25     431    17     15     33     Actor Rendering
25     264    10     8      27     Wall Rendering
25     421    16     15     32     Floor Rendering
25     81     3      3      4      ClearZScreen
25     241    9      9      11     ClearScreen
25     1641   65     59     113    RenderNormalDisplay
4292   439    0      0      89     LockVideoBuffer
4292   4879   1      0      230    Refresh
4292   688    0      0      70     Process
4292   2163   0      0      522    ReadInputs
 Hit    Total  Avg    Min    Max   Name
50     160    3      3      7      CopyVideoBuffer
50     782    15     11     132    UnlockVideoBuffer
50     823    16     15     33     Actor Rendering
50     480    9      8      26     Wall Rendering
50     770    15     15     18     Floor Rendering
50     167    3      3      4      ClearZScreen
50     463    9      9      10     ClearScreen
50     3094   61     58     102    RenderNormalDisplay
3219   346    0      0      24     LockVideoBuffer
3219   6072   1      0      240    Refresh
3219   762    0      0      240    Process
3219   1676   0      0      549    ReadInputs
 Hit    Total  Avg    Min    Max   Name
65     219    3      3      5      CopyVideoBuffer
65     815    12     11     15     UnlockVideoBuffer
65     1129   17     14     21     Actor Rendering
65     733    11     8      17     Wall Rendering
65     967    14     12     17     Floor Rendering
65     231    3      3      4      ClearZScreen
65     675    10     9      12     ClearScreen
65     4239   65     59     73     RenderNormalDisplay
2992   433    0      0      18     LockVideoBuffer
2992   7195   2      0      106    Refresh
2992   528    0      0      13     Process
2992   533    0      0      114    ReadInputs
 Hit    Total  Avg    Min    Max   Name
111    385    3      3      5      CopyVideoBuffer
111    1433   12     11     32     UnlockVideoBuffer
111    1864   16     14     21     Actor Rendering
111    1486   13     9      27     Wall Rendering
111    1548   13     9      17     Floor Rendering
111    394    3      3      5      ClearZScreen
111    1195   10     9      12     ClearScreen
111    7359   66     56     78     RenderNormalDisplay
111    551    4      4      6      LockVideoBuffer
111    9491   85     76     103    Refresh
111    319    2      1      7      Process
111    24     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
107    369    3      3      7      CopyVideoBuffer
107    1649   15     8      223    UnlockVideoBuffer
107    1823   17     14     30     Actor Rendering
107    1240   11     9      28     Wall Rendering
107    1299   12     10     29     Floor Rendering
107    383    3      3      5      ClearZScreen
107    1199   11     9      27     ClearScreen
107    6833   63     56     114    RenderNormalDisplay
107    534    4      4      12     LockVideoBuffer
107    9211   86     70     348    Refresh
107    367    3      2      13     Process
